4 ingredients
Candy, Chocolate, Sprinkles, Sugar

Part 1
Score: 18  Recipe: [('Candy', 3), ('Chocolate', 5), ('Sprinkles', 1), ('Sugar', 3)]
Score: 288  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 4)]
Score: 540  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 5)]
Score: 576  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 6)]
Score: 396  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 7)]
Score: 432  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 2), ('Sugar', 5)]
Score: 720  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 2), ('Sugar', 6)]
Score: 576  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 2), ('Sugar', 7)]
Score: 432  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 3), ('Sugar', 6)]
Score: 540  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 3), ('Sugar', 7)]
Score: 288  Recipe: [('Candy', 7), ('Chocolate', 12), ('Sprinkles', 4), ('Sugar', 7)]
Score: 168  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 4)]
Score: 330  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 5)]
Score: 384  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 6)]
Score: 330  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 7)]
Score: 168  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 8)]
Score: 264  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 5)]
Score: 480  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 6)]
Score: 480  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 7)]
Score: 264  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 8)]
Score: 288  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 3), ('Sugar', 6)]
Score: 450  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 3), ('Sugar', 7)]
Score: 288  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 3), ('Sugar', 8)]
Score: 240  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 4), ('Sugar', 7)]
Score: 240  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 4), ('Sugar', 8)]
Score: 120  Recipe: [('Candy', 7), ('Chocolate', 13), ('Sprinkles', 5), ('Sugar', 8)]
Score: 108  Recipe: [('Candy', 8), ('Chocolate', 7), ('Sprinkles', 1), ('Sugar', 4)]
Score: 192  Recipe: [('Candy', 8), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 4)]
Score: 192  Recipe: [('Candy', 8), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 5)]
Score: 96  Recipe: [('Candy', 8), ('Chocolate', 8), ('Sprinkles', 2), ('Sugar', 5)]
Score: 252  Recipe: [('Candy', 8), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 4)]
Score: 504  Recipe: [('Candy', 8), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 5)]
Score: 252  Recipe: [('Candy', 8), ('Chocolate', 9), ('Sprinkles', 2), ('Sugar', 5)]
Score: 288  Recipe: [('Candy', 8), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 4)]
Score: 720  Recipe: [('Candy', 8), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 5)]
Score: 504  Recipe: [('Candy', 8), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 6)]
Score: 360  Recipe: [('Candy', 8), ('Chocolate', 10), ('Sprinkles', 2), ('Sugar', 5)]
Score: 576  Recipe: [('Candy', 8), ('Chocolate', 10), ('Sprinkles', 2), ('Sugar', 6)]
Score: 216  Recipe: [('Candy', 8), ('Chocolate', 10), ('Sprinkles', 3), ('Sugar', 6)]
Score: 300  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 4)]
Score: 840  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 5)]
Score: 840  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 6)]
Score: 300  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 7)]
Score: 420  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 5)]
Score: 960  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 6)]
Score: 420  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 7)]
Score: 360  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 3), ('Sugar', 6)]
Score: 360  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 3), ('Sugar', 7)]
Score: 120  Recipe: [('Candy', 8), ('Chocolate', 11), ('Sprinkles', 4), ('Sugar', 7)]
Score: 288  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 4)]
Score: 864  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 5)]
Score: 1008  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 6)]
Score: 720  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 7)]
Score: 432  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 2), ('Sugar', 5)]
Score: 1152  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 2), ('Sugar', 6)]
Score: 1008  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 2), ('Sugar', 7)]
Score: 432  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 3), ('Sugar', 6)]
Score: 864  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 3), ('Sugar', 7)]
Score: 288  Recipe: [('Candy', 8), ('Chocolate', 12), ('Sprinkles', 4), ('Sugar', 7)]
Score: 252  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 4)]
Score: 792  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 5)]
Score: 1008  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 6)]
Score: 900  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 7)]
Score: 468  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 8)]
Score: 396  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 5)]
Score: 1152  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 6)]
Score: 1260  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 7)]
Score: 720  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 8)]
Score: 432  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 3), ('Sugar', 6)]
Score: 1080  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 3), ('Sugar', 7)]
Score: 756  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 3), ('Sugar', 8)]
Score: 360  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 4), ('Sugar', 7)]
Score: 576  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 4), ('Sugar', 8)]
Score: 180  Recipe: [('Candy', 8), ('Chocolate', 13), ('Sprinkles', 5), ('Sugar', 8)]
Score: 192  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 4)]
Score: 624  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 5)]
Score: 840  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 6)]
Score: 840  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 7)]
Score: 624  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 8)]
Score: 192  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 9)]
Score: 312  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 5)]
Score: 960  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 6)]
Score: 1176  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 7)]
Score: 960  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 8)]
Score: 312  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 9)]
Score: 360  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 3), ('Sugar', 6)]
Score: 1008  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 3), ('Sugar', 7)]
Score: 1008  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 3), ('Sugar', 8)]
Score: 360  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 3), ('Sugar', 9)]
Score: 336  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 4), ('Sugar', 7)]
Score: 768  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 4), ('Sugar', 8)]
Score: 336  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 4), ('Sugar', 9)]
Score: 240  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 5), ('Sugar', 8)]
Score: 240  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 5), ('Sugar', 9)]
Score: 72  Recipe: [('Candy', 8), ('Chocolate', 14), ('Sprinkles', 6), ('Sugar', 9)]
Score: 108  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 4)]
Score: 360  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 5)]
Score: 504  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 6)]
Score: 540  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 7)]
Score: 468  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 8)]
Score: 288  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 9)]
Score: 180  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 5)]
Score: 576  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 6)]
Score: 756  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 7)]
Score: 720  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 8)]
Score: 468  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 9)]
Score: 216  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 3), ('Sugar', 6)]
Score: 648  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 3), ('Sugar', 7)]
Score: 756  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 3), ('Sugar', 8)]
Score: 540  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 3), ('Sugar', 9)]
Score: 216  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 4), ('Sugar', 7)]
Score: 576  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 4), ('Sugar', 8)]
Score: 504  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 4), ('Sugar', 9)]
Score: 180  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 5), ('Sugar', 8)]
Score: 360  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 5), ('Sugar', 9)]
Score: 108  Recipe: [('Candy', 8), ('Chocolate', 15), ('Sprinkles', 6), ('Sugar', 9)]
Score: 180  Recipe: [('Candy', 9), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 5)]
Score: 486  Recipe: [('Candy', 9), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 5)]
Score: 720  Recipe: [('Candy', 9), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 5)]
Score: 576  Recipe: [('Candy', 9), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 6)]
Score: 576  Recipe: [('Candy', 9), ('Chocolate', 10), ('Sprinkles', 2), ('Sugar', 6)]
Score: 882  Recipe: [('Candy', 9), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 5)]
Score: 1008  Recipe: [('Candy', 9), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 6)]
Score: 378  Recipe: [('Candy', 9), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 7)]
Score: 1008  Recipe: [('Candy', 9), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 6)]
Score: 504  Recipe: [('Candy', 9), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 7)]
Score: 378  Recipe: [('Candy', 9), ('Chocolate', 11), ('Sprinkles', 3), ('Sugar', 7)]
Score: 972  Recipe: [('Candy', 9), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 5)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 6)]
Score: 972  Recipe: [('Candy', 9), ('Chocolate', 12), ('Sprinkles', 1), ('Sugar', 7)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 12), ('Sprinkles', 2), ('Sugar', 6)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 12), ('Sprinkles', 2), ('Sugar', 7)]
Score: 972  Recipe: [('Candy', 9), ('Chocolate', 12), ('Sprinkles', 3), ('Sugar', 7)]
Score: 990  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 5)]
Score: 1440  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 6)]
Score: 1350  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 7)]
Score: 720  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 1), ('Sugar', 8)]
Score: 1440  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 6)]
Score: 1800  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 7)]
Score: 1080  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 2), ('Sugar', 8)]
Score: 1350  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 3), ('Sugar', 7)]
Score: 1080  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 3), ('Sugar', 8)]
Score: 720  Recipe: [('Candy', 9), ('Chocolate', 13), ('Sprinkles', 4), ('Sugar', 8)]
Score: 936  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 5)]
Score: 1440  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 6)]
Score: 1512  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 7)]
Score: 1152  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 8)]
Score: 360  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 1), ('Sugar', 9)]
Score: 1440  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 6)]
Score: 2016  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 7)]
Score: 1728  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 8)]
Score: 576  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 2), ('Sugar', 9)]
Score: 1512  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 3), ('Sugar', 7)]
Score: 1728  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 3), ('Sugar', 8)]
Score: 648  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 3), ('Sugar', 9)]
Score: 1152  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 4), ('Sugar', 8)]
Score: 576  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 4), ('Sugar', 9)]
Score: 360  Recipe: [('Candy', 9), ('Chocolate', 14), ('Sprinkles', 5), ('Sugar', 9)]
Score: 810  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 5)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 6)]
Score: 1458  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 7)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 8)]
Score: 810  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 1), ('Sugar', 9)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 6)]
Score: 1944  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 7)]
Score: 1944  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 8)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 2), ('Sugar', 9)]
Score: 1458  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 3), ('Sugar', 7)]
Score: 1944  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 3), ('Sugar', 8)]
Score: 1458  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 3), ('Sugar', 9)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 4), ('Sugar', 8)]
Score: 1296  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 4), ('Sugar', 9)]
Score: 810  Recipe: [('Candy', 9), ('Chocolate', 15), ('Sprinkles', 5), ('Sugar', 9)]
Score: 612  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 1), ('Sugar', 5)]
Score: 1008  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 1), ('Sugar', 6)]
Score: 1188  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 1), ('Sugar', 7)]
Score: 1152  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 1), ('Sugar', 8)]
Score: 900  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 1), ('Sugar', 9)]
Score: 432  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 1), ('Sugar', 10)]
Score: 1008  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 2), ('Sugar', 6)]
Score: 1584  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 2), ('Sugar', 7)]
Score: 1728  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 2), ('Sugar', 8)]
Score: 1440  Recipe: [('Candy', 9), ('Chocolate', 16), ('Sprinkles', 2), ('Sugar', 9)]
